pubkey,Total Rewards,Proposal Created & passed,Bonus,"Total Rewards P1, P2",P3 Calls Active,P3 Calls Participating,P3 Calls Raffle,Total Calls Rewards,totalproposalscreated,communitypropcreatorpassed,depositedvotes,alltimerewards,DNQ,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalproposalparticipation,totalcouncilvotes,CommunityVotes,Voting Reward,totalproposalsfor,totalproposalsagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotesfor,totalcouncilvotesagainst,rewards
B6Fc8hnuz3h3q3RHCK6CrB8L547QJWTB3XQAyDhTx6YW,8357.82,,170.4,8357.82,,,,0,0,0,42178,5918,0,0,0,1695759568,1696969888,84356,84356,0,2,0,2,8187.42,2,0,0,0,0,0,0
EjSQWTKV56T5212EkqfipLCrAcZaTyiapCFVJyLDetxL,8357.82,,170.4,8357.82,,,,0,0,0,28178,21121,0,0,0,1693768391,1694025761,31248,31248,0,2,0,2,8187.42,2,0,0,0,0,0,12554
3owSReeJeiYSZSM6GLC64kpiuRTMtKkm1Zh1DnJ25v5Z,4264.11,,170.4,4264.11,,,,0,0,0,63387,5925,0,0,400,1696969888,1696969888,63387,63387,0,1,0,1,4093.71,1,0,0,0,0,0,0
3PKhzE9wuEkGPHHu2sNCvG86xNtDJduAcyBPXpE6cSNt,0,,170.4,4264.11,,,,0,0,0,0,468277.210004,1,0,403490,1693768391,1693768391,2057929,2057929,0,1,0,1,4093.71,1,0,0,0,0,0,45561
3UZr12QqZF9aHH1t6BzmghjYaJ7k8z9Jijp2VzdYX1Vm,4264.11,,170.4,4264.11,,,,0,0,0,355360,37546,0,0,9547,1694025761,1694025761,355360,355360,0,1,0,1,4093.71,1,0,0,0,0,0,9547
6Ff6Wmt1Kh4V7Nrbn1tvPcy8PUhDqhM1tdiYZjeUEkA4,4264.11,,170.4,4264.11,,2,,0,0,0,1040030,55824,0,0,15533,1694025761,1694025761,1040030,1040030,0,1,0,1,4093.71,1,0,0,0,0,0,3533
8ajdd45B5PpSnmqrk5CuUaqrBrLrqp8WrcA1aRbmyhvv,4264.11,,170.4,4264.11,,,,0,0,0,205039,28562,0,0,0,1696969888,1696969888,205039,205039,0,1,0,1,4093.71,1,0,0,0,0,0,12554
9WW4oiMyW6A9oP4R8jvxJLMZ3RUss18qsM4yBBHJPj94,4264.11,,170.4,4264.11,,,,0,0,0,214723,21833.000001,0,0,0,1693768391,1693768391,214723,214723,0,1,0,1,4093.71,1,0,0,0,0,0,3533
BcgYRPQC4mE3e195FmTx4mspmGbDx5xdcdKuLwNG89ov,4264.11,,170.4,4264.11,,,,0,0,0,680388,487604.999955,0,0,0,1693768391,1693768391,673848,673848,0,1,0,1,4093.71,1,0,0,0,0,0,6540
Ev7kp4NfhVjvUqKMwhKCcvXRb2t828gDaSqWsD2gtPzT,0,,0,0,,,,0,0,0,5,77550,1,0,0,1693768391,1694025761,9140,4570,4570,2,0,2,0,1,1,0,0,0,0,0
H5rKvWtEEezASi3swrRJhBWLCJvFKTQHLjYbQUKQutkn,4264.11,,170.4,4264.11,,,,0,0,0,500,0,0,0,0,1693768391,1693768391,500,500,0,1,0,1,4093.71,1,0,0,0,0,0,0
HTBKowBM1CMVS2F1EGBibiyTLoGn2hh7h6DuDPtwS37W,14264.11,,170.4,4264.11,10000,5,,10000,0,0,11230,0,0,0,0,1696969888,1696969888,11230,11230,0,1,0,1,4093.71,1,0,0,0,0,0,0
GeEwbHS5BGdcm3p45tt4NgiW97HYpkk5P9NsJ64kKWxZ,0,,,0,,2,,0,,,,,,,,,,,,,,,0,0,,,,,,,
JCkH1jkqHrbJeXndvAXAswW3PhC3vKzovy58ZdetTEqL,14264.11,,170.4,4264.11,10000,1,,10000,0,0,2691606,55058,0,0,0,1696969888,1696969888,2691606,2691606,0,1,0,1,4093.71,1,0,0,0,0,0,0
Tqv1mTQv8KD4qFPyjobbFnYD7Av2NpNCc96fEYdFAbw,4264.11,,170.4,4264.11,,,,0,0,0,145904,22121.715001000000,0,0,0,1695759568,1695759568,145904,145904,0,1,0,1,4093.71,1,0,0,0,0,0,0
uLfMeRAPVMxs5tprZV9788CrWc7bMY6vuFgjv7aTLAA,4264.11,,170.4,4264.11,,,,0,0,0,78672,17802,0,0,0,1695759568,1695759568,78672,78672,0,1,0,1,4093.71,1,0,0,0,0,0,9547
129H4gSo68Ys8kqfZxsA6j59GKbaL4T64qsD92N2Bcv,0,,,,,,,0,0,0,0,0,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
21VN2b3spuPxXqoHK95fZo3KujtCQfg6rotgYZY4P72F,0,,,,,,,0,0,0,0,1100,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
253MdBV28r86HnUL9K5tMg746Bv9arNXLnWT7rjqxkWW,0,,,,,,,0,0,0,0,2035,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
259kcBSc27oKzqHC2fZUfVBwPEKqzhn6qrj6vbzHHkou,0,,,,,,,0,0,0,31422,7025,,0,5810,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
26gQiDrDHBj6VmcLMUnUCHe9UDXzJTwt56gemRJuRdUY,0,,,,,,,0,0,0,0,29855,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
29gfXNCjUcepv3dPLhwsZRSHM7WNJ3rGc9GCRY3RQuwA,0,,,,,,,0,0,0,0,33649,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2BbPeiBkdaMkF5c1qNttKDraXowVVND3Tm9t7gLg5Xbs,0,,,,,,,0,0,0,0,4890,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2BD785THVpxGZqufB7NUgYC6zELD6dpiuqt19PCki1U6,0,,,,,,,0,0,0,0,0,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2DRZFjaKVBfq966o1MLe2AnNkyvhwN8r3uGdhnxTktUR,0,,,,,,,0,0,0,87511,7060,,0,11620,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2F4BxHi7KNgoX6TQqCu2tqhWEJiJHqPGepZWxY7Nn5JK,0,,,,,,,0,0,0,0,890,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2f6V9y7ZfRGDb5m6Zpp95eVGQ3F25ajTbar1Um1E48Ui,0,,,,,,,0,0,0,0,1000,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2gb16gTyzzPtJ2EKi7AZSd9Dsxc191ieFKbJ313BeDvs,0,,,,,,,0,0,0,0,8175,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2iwXAgFi7z1VVzudXT8r3qHVH9xaJKXr2Pi5kThMpdgm,0,,,,,,,0,0,0,0,41292.500002,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2Jm2SUuc7G1XqxXx9wCJ9yWsnmw2H3o6eVPmi3sBBPaL,0,,,,,,,0,0,0,0,19409,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2mQcLgaGdZvV1K7Yk3yCz5vVJkHzT5TQtbugAhfZHKvo,0,,,,,,,0,0,0,29079,12385,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2mqe8ScMrHTn2D3me7fBtAAwc7wGG5A3vpaJfqMgMs2z,0,,,,,,,0,0,0,0,15246,,0,2068,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2n3H2nqLTW4SXxsNgnXt945HjsQqxw1ow52V2t1PxCHJ,,,,,,,,0,0,0,0,4405,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2oUd6hLeDrManDTF7VsMiu2d6vxW1w5kdEKpYTScw4YM,,,,,,,,0,0,0,0,7125,,0,2,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2prS3HfJLhqSzudJ5WmkvoCqHpLqvz4iGRpBVVxBSVh9,,,,,,,,0,0,0,0,7125,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2QE9cetztT82uEtMqsdczyra42KhqgkM4gnL265ohtrL,,,,,,,,0,0,0,0,0,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2QV34PBFCeBfNFNVWQGFc181aLHxA7Gyf5MGZWvQW1Yo,,,,,,,,0,0,0,5650,1060,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2RR8BSkEUH9aJuqFJsmRQ7wfBk798oujYSucfhaDtSvx,,,,,,,,0,0,0,0,2155,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2su7qMHkRNsTEjHdzkHA5hzvA8UohHNoV6JhLsUXms7a,,,,,,,,0,0,0,0,465,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2sVE4nQXwqxgJ33Pbz8D7QLShYjKpAT2bbJbMgA7EeaC,,,,,,,,0,0,0,314,52054.000001,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2ti22hYpWr5kfGzs56vUUhXn1iKVxAqj7WqHub9FJ92V,,,,,,,,0,0,0,27019,1875,,0,1875,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2tmFEAkqUseP7sxUs2CuVxzwjKfjNPHicJHbntiTz3WB,,,,,,,,0,0,0,22044,4720,,0,1875,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2tPGUj2utntUpwVCU5Bv1TZGHWpSZJiPvdheFzRDxCkt,,,,,,,,,0,0,0,1170,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
