pubkey,Totalrewards,proposalcreation,voting,callparticipation,raffle,totalproposalparticipation,communitypropcreatorpassed,depositedvotes,alltimerewards,baseline,elgible,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotes,totalcouncilvotesagainst,rewards
9CvND2BHEq19hQctHeJef1ULbf3UV2sCvqBmxbWmq34B,10526,,10526,,,2,0,18990,8990,6293,TRUE,0,382,1707854444,1708447165,28990,28990,0,0,0,0,0,8990
9dewJqYKVvHkT4rTsvu6c5ymGs6qszpA5xdQzhRbij6X,10526,,10526,,,2,0,39802,23815,16670.5,TRUE,0,903077,1707854444,1708447165,66119,66119,0,0,0,0,0,13485
HXrTymzMrFRQFFrexaDjcakEgEfs88EJvKaA44jacpgT,10526,,10526,,,2,0,44794,8990,6293,TRUE,0,0,1707854444,1708447165,80598,80598,0,0,0,0,0,8990
8ajdd45B5PpSnmqrk5CuUaqrBrLrqp8WrcA1aRbmyhvv,10526,,10526,,,2,0,733265,506788.109999,354751.676999,TRUE,0,0,1707854444,1708447165,1114935,1114935,0,0,0,0,0,178045
7nQgXKahEs1LLtH3ipbuqPdWBcwFoJK8TaxeUuykcdfC,10526,,10526,,,2,0,1006154,0,0,TRUE,0,10000,1707854444,1708447165,1965992,1965992,0,0,0,0,0,0
F8qopzCYLt5dCf4t9GxtyQkNqSAEKfqiuMcpZbuMfP2x,10526,,10526,,,2,0,12546,8990,6293,TRUE,0,0,1707854444,1708447165,16102,16102,0,0,0,0,0,8990
By7UySnEdV1wgady2acLZemc4H3B1eUQTTW5n8wiZjpG,5263,,5263,,,1,0,100590,48973.240000000000,34281.268000000000,TRUE,0,99,1707854444,1707854444,91600,91600,0,0,0,0,0,8990
5BzDWc6MVWx2QxS3tSFLspdEHJLUYjogBByBUrZzcwU6,5263,,5263,,,1,0,31401,4405,3083.5,TRUE,0,0,1707854444,1707854444,31401,31401,0,0,0,0,0,0
AkXTPSmMeDY1hjRNH2BfCJByeWWPgJgJmJZFKEP5F7LC,5263,,5263,,,1,0,78178,41962,29373.4,TRUE,0,0,1708447165,1708447165,78178,78178,0,0,0,0,0,0
Tqv1mTQv8KD4qFPyjobbFnYD7Av2NpNCc96fEYdFAbw,5263,,5263,,,1,0,190438,38592.825000000000,27014.977500000000,TRUE,0,0,1708447165,1708447165,190438,190438,0,0,0,0,0,0
F11eNdMU6v4aDaoqJAPHNfqoKJaKzqDbY3sTBSVwKo1d,5263,,5263,,,1,0,185586,102011.24,71407.87,TRUE,0,17,1707854444,1707854444,172101,172101,0,0,0,0,0,13485
HgAiPhtDfQnDRvuCnhePP3VFKd31i6EVAqFnQi9bjbEu,5263,,5263,,,1,0,18413,13312,9318.4,TRUE,0,0,1708447165,1708447165,18413,18413,0,0,0,0,0,0
4LAUqfwKXyUrKeBoEpphozvNMgnT3DhYjU3tohGeArjd,5263,,5263,,,1,0,141560,98272.24,68790.57,TRUE,0,0,1708447165,1708447165,141560,141560,0,0,0,0,0,4495
3UZr12QqZF9aHH1t6BzmghjYaJ7k8z9Jijp2VzdYX1Vm,5263,,5263,,,1,0,369172,41810.109999,29267.076999,TRUE,0,0,1707854444,1707854444,355360,355360,0,0,0,0,0,0
i7HdjbyqnqEDpQPynnsMYGAep64Ss6sJbrrtxteFZHL,5263,,5263,,,1,0,10000,0,0,TRUE,0,0,1708447165,1708447165,10000,10000,0,0,0,0,0,0
8BXx8o9QfJ2CSC8DMynxmTQuX6xyMtgjwBdWKf4UbrqM,5263,,5263,,,1,0,54773,28694,20085.8,TRUE,0,0,1707854444,1707854444,54773,54773,0,0,0,0,0,0
9WFZNffyVg6GGtqTrs1tXzXCFkN2fA8CVQsGfGeyVMfJ,5263,,5263,,,1,0,43925,19275,13492.5,TRUE,0,0,1707854444,1707854444,34935,34935,0,0,0,0,0,8990
FkTvYVx1ymhCjj7jzrh6J1Sj3NidyHfEdXpAtnaQ92A5,5263,,5263,,,1,0,263440,52940,37058,TRUE,0,0,1707854444,1707854444,263440,263440,0,0,0,0,0,0
