pubkey,TotalRewards,communitypropcreatorpassed,depositedvotes,alltimerewards,base_elgible_level,is_elgible,totalproposalparticipation,VotingReward,CallRewards,RaffleReward,CreationRewardCapped,totalproposalscreated,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalcouncilvotes,totalproposalsfor,totalproposalsagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotesfor,totalcouncilvotesagainst,rewards
3eRpxbaTWx8vS2qKhC4h2aYQXPBzxcG6cFf8xrNdck64,0,0,0,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
GADm41oZzno47qXZbQRZMb4HfJ4ytzFsiu9HUma2Kzn8,0,0,0,1105,773.5,FALSE,0,0,,,,0,0,6270,null,null,0,0,0,0,0,0,0,0,0,0,0
F11eNdMU6v4aDaoqJAPHNfqoKJaKzqDbY3sTBSVwKo1d,0,0,190849,105399.24,73779.47,TRUE,0,0,,,,0,0,17,null,null,0,0,0,0,0,0,0,0,0,0,5263
D3s8NuLSxhvEwpnQ9wMkgEx3j2Hbw6FcFfA2Nh1p78dF,0,0,0,39486.812507,27640.768755,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
8PqQYJDvsow3UGydnnNuwSoPBuJ2QGxT4DrwvRuAyLxJ,0,0,0,5405,3783.5,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
Hew6XJcEjQAx2Pi4GWogr68dmbST24g9xtumKBqvhkdL,0,0,0,2155,1508.5,FALSE,0,0,,,,0,0,54449,null,null,0,0,0,0,0,0,0,0,0,0,0
HTe1Hfi6zAjLcCjyaox7fTvjPnXvqjKna9BT3h45BDKa,0,0,0,1100,770,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
Hjbf2kgBEzHf6j4bRZ4DDaVXzRhBm8Tr82ttNRLTFuuZ,0,0,0,57342.08969900000,40139.46278930000,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
GmzqsoTC1XyWHkJe79skc49Ed5FynKZSSJh3d2z1Zqch,0,0,0,1100,770,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
6m4i6Gh83M4oDps6g6zXM4wiXap35w65DQS7hdnEzuB5,0,0,0,1105,773.5,FALSE,0,0,,,,0,0,13890,null,null,0,0,0,0,0,0,0,0,0,0,0
9qWN2em7qYpZg5dhD83bSepQbZWRY3GUZAxTnok1azZP,0,0,0,313964,219774.8,FALSE,0,0,,,,0,0,732000,null,null,0,0,0,0,0,0,0,0,0,0,0
3JkznmhmZ3fU6nnpuX8JHnUKdy4BmhKMUhBoprJN43Px,0,0,41,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
AzdqxbTury9ygNmPuWFBhZbG4u8okaB74q3FrodowAF6,0,0,0,1610,1127,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
6KhisW1zBdcax1na44XZcSd4jgr48iRbBEieNVR1JtA9,0,0,0,115,80.5,FALSE,0,0,,,,0,0,1263,null,null,0,0,0,0,0,0,0,0,0,0,0
21VN2b3spuPxXqoHK95fZo3KujtCQfg6rotgYZY4P72F,0,0,0,1100,770,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
BXokbUFNAGupNhuczvFDCS2BaXChnCvpCFB7qSJErH4f,0,0,1000,1100,770,TRUE,0,0,,,,0,0,100,null,null,0,0,0,0,0,0,0,0,0,0,0
6VHKRsV67Hx6zUWdQs8FVNFW7Qb2SBsEd6jqMRD5UVGf,0,0,5752,1640,1148,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
3cx9UxeRyUH4r7mweHFfgHELEUS2GBiFAXyy5auWrRDZ,0,0,23806,11330,7931,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
5kLAJS1P2c4pSHPhU91aAMLsfhBbjbYHTCfxhmKB3Rtd,0,0,6211,1745.4,1221.8,TRUE,0,0,,,,0,0,15568,null,null,0,0,0,0,0,0,0,0,0,0,0
96tq9QEc8qhyy7g5iA97SH8N1T9cMXAMQN6C2ycDcrm5,0,0,22,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
5cvX5RGXCbX12Rso1UCTFFDdzgN9W7jMTHCDzKAthmuo,0,0,1,79856.53,55899.57,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
HWjuUSLmPmiUYJHs2AH1nr9JZH7vcPhqQpDa6KBVA2fS,0,0,1800,15880,11116,FALSE,0,0,,,,0,0,145,null,null,0,0,0,0,0,0,0,0,0,0,0
2xRMvUtr88hLcLkFD1vfSADkQW92S3JxFF2vuV5pVGLr,0,0,0,1280,896,FALSE,0,0,,,,0,0,1359,null,null,0,0,0,0,0,0,0,0,0,0,0
JBXbypS6S8k1fAhwPssXa1SDtUq8KSBCjVhbDZqxsemB,0,0,0,4230,2961,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
9N78qUJMtbJE5739uVuQYtoBR4CR68MDwtpLBFWrCHo4,0,0,0,1100,770,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
9rNN4te7RAwFUTZRKZ7gc2d1zpvnMDMa9aQ1DnVkGoE9,0,0,1068,150,105,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
BsFR3oxtQfRb3PfFwRYMv8uYUo2WmicTAEm1sZDaUE6c,0,0,0,110,77,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
HvB2jZLsM1em4DDkze4Lmncetk5NNdMS5tYAxe4khery,0,0,0,55,38.5,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
AxSv4XsSeWisFhSq7C8MA1TV5BErjDi5K4zze6HPJy8F,0,0,0,108335.53,75834.87,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
3PPjZVCpJw4YA7Z918aux6uNwbMuK9EXtjv9nwwSR1bF,0,0,117,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
GhXKgMtTFyzvXfnPae6p7vL9SsSdvwnniqF79qWf67eS,0,0,0,55,38.5,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
939AAWDfv2wTpR4qiSU59tyXYV12TrYr8jaxfaQWmydb,0,0,0,7764,5434.8,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
Krw1qTDKuu7AKdCZBz4FRhBj6136yKD2YkrnUUuG9XU,0,0,0,20548.1875,14383.7313,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
GQFSF6rj3vBrSEaa9C5nhSnfqyh2MBMrdqkRATAoieV2,0,0,0,225,157.5,FALSE,0,0,,,,0,0,2010,null,null,0,0,0,0,0,0,0,0,0,0,0
EZLvwGdGyeks3jQLWeBbjL1uGeGbqb2MYU4157pDP9ch,0,0,330817,218344,152840.8,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
4aJh2CCtbUr64Xh45UL8FXXUdJG5btiCDMZb18Vr2RT9,0,0,0,791,553.7,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
2RR8BSkEUH9aJuqFJsmRQ7wfBk798oujYSucfhaDtSvx,0,0,0,1255,878.5,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
HHYHaJNDkJq7rdfCMgMizA7rPJ1AW9Qd9X2nEiXYBJz6,0,0,0,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
3H6mb7Sm2CQ1Jfh3fA8gMsYSv4g7pVg1LGg6wqsMYWqp,0,0,62,0,0,TRUE,0,0,,,,0,0,2900,null,null,0,0,0,0,0,0,0,0,0,0,0
3dJwAcXi8DiqhLqsWr2DJYRwQZbFjR7APvXM5pEcy6fj,0,0,31649,8455,5918.5,TRUE,0,0,,,,0,0,2900,null,null,0,0,0,0,0,0,0,0,0,0,0
J4yKFnSdfgeDwLJ7u8N9R5NK4sDryVPmbXL2wJci8wbZ,0,0,16,270,189,FALSE,0,0,,,,0,0,270,null,null,0,0,0,0,0,0,0,0,0,0,0
3PKhzE9wuEkGPHHu2sNCvG86xNtDJduAcyBPXpE6cSNt,0,0,0,444007.210004,310805.047003,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
GwgEND5VQdy8PpeUyzXp8riQBXkQTyDUHNDTzWH64jR9,0,0,48,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
EbVdTBGv5poB8ovWLnDAduh3w7bQMppZjsEaT6KhxAmB,0,0,0,60450.50000000000,42315.35000000000,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
Evs9aHMu7Txr3vurtmpqjThVgf2pbpdf5gL2nBCqpLAo,0,0,0,38217.500002,26752.250001,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
GGqieUyW18ZForVxhYs6dttUVGELhATX6Hoj2KVTXvxK,0,0,0,21723,15206.1,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
5pJ89aofV4nP5eaJfpvvChkuce7NEUQVf31ckLCXTymg,0,0,0,10320,7224,FALSE,0,0,,,,0,0,79792,null,null,0,0,0,0,0,0,0,0,0,0,0
HnUZo13Ncb9Xx4nuVnLcnkSDvPR5vfMRbbQJySoUQBof,0,0,0,1100,770,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
B4sPLzfPv8ZszXhrbjyf3Yekrq2kY4UwTd8iGQbv2XhJ,0,0,1360518,678867.8,475207.5,TRUE,0,0,,,,0,1,6811,null,null,0,0,0,0,0,0,0,0,0,0,0
3MsmkPefAd1zbtJtsrrR61pFLmXYGxr3d2BK8wt6QYzK,0,0,0,55,38.5,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
7pPJt2xoEoPy8x8Hf2D6U6oLfNa5uKmHHRwkENVoaxmA,0,0,0,299520.570007,209664.399005,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,0,0,0,43747.145001000000,30623.001500700000,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
CcgJm67J2QH433jm9FMhLJg66qZXN36m13otScKfy1mU,0,0,0,43852.739631,30696.917742,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
2BD785THVpxGZqufB7NUgYC6zELD6dpiuqt19PCki1U6,0,0,0,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
6DADojjAUEPWnPWAKbdwnNLRCEWfqzdcSCUiZCSjyC8D,0,0,0,55,38.5,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
9ZeNiDFPTwFkG3ptwBZjMGL2N4djQgxAsU5YB6z2hhHy,0,0,0,80432.500001,56302.750001,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
4AigoHLLzSMuzueRicxeQhK5NqaG1TT9EvpCeAvqn6oY,0,0,0,535,374.5,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
FuXhp8cXQ6kWWipLjyTi1DxPcp2Vo6441VmBz2fbo4sx,0,0,0,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
9A7SSedx9mGi2qsgDaEKWc3dLPDCznpNcM6PfsDjdui5,0,0,0,35631,24941.7,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
FubSx8FudbtjgnuNk8j9WwAPnPK4XzeN7FNfoBarQFDG,0,0,0,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
4oKNmVbaK1eW4AbMYwxT3HtzcF9ygczVGicU2j3VzW6S,0,0,0,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
C5q4tYiDzjJnikeVTBKFV3Xqp9eQ3jhZ6U4Esgrnuxih,0,0,0,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
Fp9ULSKHYm2bR6AUZvZGdXWcWsB7iynaUS9ipr5K1MbF,0,0,0,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
62XPk2UveykynZosxK8CgTJLe3c7WCS7nPxFY89XkiC3,0,0,0,0,0,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
uLfMeRAPVMxs5tprZV9788CrWc7bMY6vuFgjv7aTLAA,0,0,108537,37010.109999,25907.076999,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
44rSzUMYCpBoTk9jwpPPJqd5KjWepJcdficsUHNgLxgF,0,0,80300,63628.000001,44539.600001,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
vQ9M3TbssHuxynha2VNCpinQG1qqhj9DB6hNb7Vmupi,0,0,0,4330,3031,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
